sample_id,escenario,vehicle_type,is_autonomous,gnss_speed_kmh,gnss_ramp_grade,lidar_obstacle_dist_m,lidar_visibility_index,op_perclos_score,turno_horas_acumuladas,op_steering_jerk_stddev,op_harsh_braking_count,ttc_raw_sec,effective_ttc_sec,collision_risk_label
DSTM-01466,D,CAMIONETA_4x4,0,38.39,10.03,48.53,0.382,0.282,7.1,7.58,2,4.07,1.59,1
DSTM-01467,B,CAT_797F_MANUAL,0,14.85,2.27,7.29,0.991,0.052,9.0,4.39,1,1.19,-0.14,1
DSTM-01468,A,CAT_797F_MANUAL,0,42.89,10.75,46.81,0.715,0.155,11.1,4.49,0,4.52,2.59,1
DSTM-01469,D,CAT_797F_MANUAL,0,23.05,5.77,37.24,0.491,0.216,4.2,2.07,3,5.03,3.06,1
DSTM-01470,A,CAT_797F_MANUAL,0,40.32,9.03,20.87,0.595,0.311,5.8,7.28,1,1.51,-0.73,1
DSTM-01471,E,KOMATSU_930E_AHS,1,32.3,9.73,29.43,0.915,0.055,6.8,0.15,0,2.88,2.48,1
DSTM-01472,A,CAT_797F_MANUAL,0,47.9,9.15,46.43,0.675,0.233,1.6,6.77,0,3.35,1.38,1
DSTM-01473,A,CAT_797F_MANUAL,0,35.76,10.15,146.89,0.537,0.217,2.5,3.78,0,14.35,12.25,0
DSTM-01474,C,CAT_797F_MANUAL,0,32.06,7.55,54.35,0.871,0.29,7.6,7.46,1,6.15,4.04,0
DSTM-01475,C,KOMATSU_930E_AHS,1,25.26,10.64,85.04,0.828,0.058,19.2,0.15,0,10.87,10.41,0
DSTM-01476,C,CAT_797F_MANUAL,0,40.45,7.94,14.43,0.963,0.242,9.6,1.39,3,1.41,-0.42,1
DSTM-01477,B,CAT_797F_MANUAL,0,16.17,3.02,37.09,0.844,0.217,9.2,1.94,2,8.39,6.41,0
DSTM-01478,E,CAMIONETA_4x4,0,41.78,10.32,13.4,0.891,0.268,5.6,3.28,2,0.97,-1.16,1
DSTM-01479,C,CAMIONETA_4x4,0,41.98,8.38,111.49,0.914,0.469,8.7,6.33,3,9.79,7.28,0
DSTM-01480,C,CAMIONETA_4x4,0,42.52,9.04,43.13,0.967,0.099,11.1,5.85,1,3.52,1.98,1
DSTM-01481,B,CAT_797F_MANUAL,0,14.8,5.16,36.61,0.861,0.204,4.1,1.63,0,9.4,7.63,0
DSTM-01482,A,CAT_797F_MANUAL,0,40.84,8.52,17.62,0.798,0.266,11.2,13.23,2,1.62,-0.43,1
DSTM-01483,C,CAT_797F_MANUAL,0,31.44,12.86,25.14,0.949,0.49,11.0,4.39,4,2.46,-0.28,1
DSTM-01484,A,CAT_797F_MANUAL,0,36.42,8.09,48.95,0.782,0.333,3.5,2.09,1,5.65,3.43,1
DSTM-01485,C,CAT_797F_MANUAL,0,39.74,6.54,10.36,0.865,0.359,10.1,1.58,1,1.24,-1.01,1
DSTM-01486,A,CAT_797F_MANUAL,0,50.91,6.9,100.55,0.724,0.034,4.6,0.76,1,7.29,5.83,0
DSTM-01487,E,CAMIONETA_4x4,0,36.83,9.02,103.29,0.842,0.065,4.5,1.91,2,9.86,8.28,0
DSTM-01488,C,KOMATSU_930E_AHS,1,19.38,8.54,42.95,0.935,0.058,7.7,0.15,0,7.36,6.98,0
DSTM-01489,E,KOMATSU_930E_AHS,1,21.47,8.99,31.51,0.754,0.069,7.6,0.15,0,3.83,3.38,1
DSTM-01490,C,CAT_797F_MANUAL,0,30.52,10.63,15.61,0.997,0.669,10.4,10.04,1,1.83,-1.22,1
DSTM-01491,A,CAT_797F_MANUAL,0,34.35,14.22,57.58,0.665,0.337,5.5,7.03,3,5.76,3.13,1
DSTM-01492,D,CAT_797F_MANUAL,0,35.2,9.33,13.74,0.283,0.315,11.3,1.56,0,1.36,-1.23,1
DSTM-01493,C,CAT_797F_MANUAL,0,29.71,7.83,8.47,0.94,0.47,11.6,3.67,1,1.19,-1.32,1
DSTM-01494,D,KOMATSU_930E_AHS,1,23.39,11.92,33.11,0.223,0.053,17.8,0.15,0,4.83,4.09,0
DSTM-01495,B,PALA_PH_4100XPC,0,5.4,1.13,33.87,0.783,0.218,6.5,5.32,1,67.59,65.82,0
DSTM-01496,C,CAT_797F_MANUAL,0,38.2,6.14,30.16,0.8,0.292,11.6,4.09,3,3.64,1.65,1
DSTM-01497,E,KOMATSU_930E_AHS,1,26.3,8.72,45.81,0.815,0.028,8.9,0.15,0,6.34,5.89,0
DSTM-01498,C,KOMATSU_930E_AHS,1,29.3,11.21,4.78,0.997,0.034,3.3,0.15,0,0.9,0.53,1
DSTM-01499,B,CAT_797F_MANUAL,0,14.86,6.31,14.98,0.807,0.034,10.8,9.03,0,2.61,1.23,1
DSTM-01500,D,CAT_797F_MANUAL,0,42.19,10.46,112.15,0.242,0.18,1.8,2.07,4,9.29,7.04,0
DSTM-01501,D,CAT_797F_MANUAL,0,35.05,7.38,43.05,0.262,0.077,9.9,1.43,1,4.03,2.23,1
DSTM-01502,E,CAMIONETA_4x4,0,39.78,7.1,56.84,0.73,0.246,8.6,6.14,1,5.71,3.68,1
DSTM-01503,B,PALA_PH_4100XPC,0,0.0,3.54,24.08,0.785,0.146,7.1,3.69,0,49.4,47.68,0
DSTM-01504,B,CAT_797F_MANUAL,0,13.96,3.34,69.52,0.824,0.134,5.3,4.05,1,24.39,22.74,0
DSTM-01505,D,CAT_797F_MANUAL,0,35.51,10.46,192.44,0.202,0.121,3.3,1.82,2,18.68,16.6,0
DSTM-01506,C,CAT_797F_MANUAL,0,33.81,8.31,26.58,0.747,0.336,11.3,2.4,1,3.11,0.8,1
DSTM-01507,D,CAT_797F_MANUAL,0,24.76,9.36,30.38,0.348,0.128,10.7,5.48,1,3.74,1.82,1
DSTM-01508,C,CAT_797F_MANUAL,0,41.32,5.74,95.25,0.899,0.309,10.8,3.33,2,8.42,6.5,0
DSTM-01509,A,CAMIONETA_4x4,0,36.67,10.63,24.59,0.777,0.069,5.3,5.57,2,2.72,1.06,1
DSTM-01510,D,CAT_797F_MANUAL,0,38.78,9.52,16.25,0.549,0.233,3.0,6.16,1,1.61,-0.47,1
DSTM-01511,A,CAMIONETA_4x4,0,48.64,7.95,18.15,0.643,0.02,9.6,3.77,1,1.52,-0.06,1
DSTM-01512,A,CAT_797F_MANUAL,0,45.36,8.11,60.79,0.603,0.2,11.5,5.41,3,5.06,3.14,1
DSTM-01513,C,KOMATSU_930E_AHS,1,29.06,8.15,117.65,0.937,0.036,4.2,0.15,0,15.39,15.01,0
DSTM-01514,D,CAT_797F_MANUAL,0,29.85,8.93,26.08,0.382,0.262,3.0,4.71,0,3.41,1.18,1
DSTM-01515,E,KOMATSU_930E_AHS,1,18.35,8.21,26.53,0.769,0.095,22.1,0.15,0,5.58,5.11,0
DSTM-01516,B,CAMIONETA_4x4,0,40.37,4.1,21.28,0.759,0.184,6.9,7.39,3,2.05,0.24,1
DSTM-01517,A,CAT_797F_MANUAL,0,42.83,9.51,12.54,0.691,0.309,7.7,2.67,1,0.78,-1.53,1
DSTM-01518,E,CAMIONETA_4x4,0,43.68,8.5,20.34,0.777,0.153,6.0,5.92,1,1.29,-0.45,1
DSTM-01519,A,CAT_797F_MANUAL,0,47.31,10.41,10.92,0.554,0.219,1.1,3.43,1,1.12,-1.13,1
DSTM-01520,A,CAT_797F_MANUAL,0,33.05,10.99,16.46,0.662,0.226,5.0,3.56,3,1.44,-0.78,1
DSTM-01521,B,PALA_PH_4100XPC,0,2.73,3.82,38.03,0.811,0.268,5.4,2.15,1,34.39,32.43,0
DSTM-01522,C,CAT_797F_MANUAL,0,29.03,10.91,137.38,0.853,0.232,8.5,4.98,8,16.29,14.19,0
DSTM-01523,E,KOMATSU_930E_AHS,1,31.19,7.75,42.3,0.911,0.02,20.0,0.15,0,4.71,4.32,0
DSTM-01524,D,KOMATSU_930E_AHS,1,30.91,6.37,57.49,0.259,0.063,2.7,0.15,0,6.8,6.06,0
DSTM-01525,D,CAT_797F_MANUAL,0,25.79,8.9,6.96,0.412,0.167,7.8,1.93,2,1.11,-0.78,1
DSTM-01526,A,CAMIONETA_4x4,0,60.12,8.53,59.51,0.664,0.323,1.9,1.91,1,3.52,1.18,1
DSTM-01527,B,PALA_PH_4100XPC,0,4.0,0.31,36.72,0.85,0.359,11.3,3.84,1,45.06,42.81,0
DSTM-01528,C,KOMATSU_930E_AHS,1,19.95,10.66,94.6,0.994,0.07,18.4,0.15,0,13.96,13.6,0
DSTM-01529,A,KOMATSU_930E_AHS,1,30.94,12.03,49.55,0.76,0.028,20.7,0.15,0,4.94,4.48,0
DSTM-01530,B,CAT_797F_MANUAL,0,21.64,5.12,33.66,0.933,0.334,10.3,6.99,3,6.09,4.02,0
DSTM-01531,B,CAT_797F_MANUAL,0,18.08,1.59,46.86,0.79,0.035,8.2,2.52,2,9.41,7.99,0
DSTM-01532,A,CAT_797F_MANUAL,0,35.17,10.95,17.46,0.568,0.035,7.3,0.36,0,1.52,-0.28,1
DSTM-01533,C,CAT_797F_MANUAL,0,27.83,9.31,60.75,0.926,0.421,7.9,10.99,2,7.62,5.2,0
DSTM-01534,D,CAT_797F_MANUAL,0,25.77,4.73,23.33,0.59,0.083,6.2,6.27,4,3.73,2.07,1
DSTM-01535,A,CAT_797F_MANUAL,0,41.83,11.29,23.9,0.711,0.02,3.7,4.12,0,2.2,0.53,1
DSTM-01536,C,KOMATSU_930E_AHS,1,29.22,10.09,74.13,0.896,0.057,14.7,0.15,0,8.63,8.22,0
DSTM-01537,D,CAT_797F_MANUAL,0,28.16,11.24,18.14,0.361,0.112,7.0,3.51,0,2.32,0.38,1
DSTM-01538,D,KOMATSU_930E_AHS,1,20.37,6.81,80.78,0.328,0.075,2.4,0.15,0,11.21,10.53,0
DSTM-01539,D,CAT_797F_MANUAL,0,35.3,6.15,38.73,0.336,0.106,11.0,1.81,4,3.75,1.94,1
DSTM-01540,B,CAT_797F_MANUAL,0,8.56,4.4,105.6,0.952,0.327,6.1,2.17,0,39.95,38.1,0
DSTM-01541,D,CAT_797F_MANUAL,0,38.96,8.1,14.26,0.517,0.02,2.7,2.07,0,1.42,-0.25,1
DSTM-01542,A,CAMIONETA_4x4,0,60.5,9.18,63.91,0.753,0.164,10.3,0.67,0,3.97,2.18,1
DSTM-01543,B,CAT_797F_MANUAL,0,18.27,2.71,8.8,1.0,0.129,4.6,0.7,1,1.05,-0.36,1
DSTM-01544,A,CAT_797F_MANUAL,0,49.24,10.29,32.26,0.796,0.267,7.2,4.82,2,2.15,-0.08,1
DSTM-01545,C,CAT_797F_MANUAL,0,39.81,15.48,7.08,0.791,0.447,11.2,1.16,3,0.66,-2.26,1
DSTM-01546,B,CAT_797F_MANUAL,0,15.91,4.48,9.33,0.959,0.091,7.2,3.01,0,1.6,0.11,1
DSTM-01547,A,CAT_797F_MANUAL,0,34.31,6.74,22.2,0.588,0.105,1.6,6.29,2,2.46,0.77,1
DSTM-01548,D,CAT_797F_MANUAL,0,21.76,7.35,3.59,0.531,0.139,2.6,2.07,1,1.29,-0.5,1
DSTM-01549,B,PALA_PH_4100XPC,0,4.04,5.47,2.0,0.907,0.076,9.0,3.55,4,11.09,9.55,1
DSTM-01550,B,PALA_PH_4100XPC,0,0.83,1.22,3.37,0.881,0.224,7.2,0.15,0,18.44,16.54,0
DSTM-01551,A,CAMIONETA_4x4,0,35.85,8.27,25.91,0.755,0.083,11.4,9.3,1,2.87,1.29,1
DSTM-01552,B,CAMIONETA_4x4,0,36.87,5.02,32.21,0.803,0.02,3.2,5.57,0,3.2,1.74,1
DSTM-01553,B,PALA_PH_4100XPC,0,3.04,1.43,16.21,0.847,0.145,9.3,2.03,0,22.18,20.5,0
DSTM-01554,B,PALA_PH_4100XPC,0,0.0,2.92,19.48,0.979,0.187,3.4,4.5,2,40.5,38.72,0
DSTM-01555,A,KOMATSU_930E_AHS,1,42.52,9.5,18.05,0.625,0.02,5.8,0.15,0,2.06,1.52,1
DSTM-01556,D,KOMATSU_930E_AHS,1,23.52,10.94,66.29,0.539,0.073,2.5,0.15,0,10.07,9.49,0
DSTM-01557,E,KOMATSU_930E_AHS,1,28.29,11.68,34.19,0.959,0.052,18.7,0.15,0,3.94,3.58,1
DSTM-01558,C,KOMATSU_930E_AHS,1,26.87,7.32,146.09,0.945,0.045,5.8,0.15,0,18.24,17.86,0
DSTM-01559,C,CAT_797F_MANUAL,0,38.86,12.06,31.21,1.0,0.21,10.0,0.71,0,2.73,0.64,1
DSTM-01560,E,KOMATSU_930E_AHS,1,27.69,6.89,142.25,0.812,0.058,13.2,0.15,0,19.97,19.52,0
DSTM-01561,E,KOMATSU_930E_AHS,1,29.75,11.08,61.35,0.859,0.038,14.6,0.15,0,7.02,6.6,0
DSTM-01562,C,CAT_797F_MANUAL,0,27.7,8.67,21.34,0.81,0.416,7.9,15.0,0,2.62,0.18,1
DSTM-01563,E,KOMATSU_930E_AHS,1,30.53,11.16,139.15,0.876,0.076,1.1,0.15,0,17.1,16.68,0
DSTM-01564,E,CAMIONETA_4x4,0,42.85,10.05,72.66,0.913,0.025,3.7,3.03,0,6.26,4.75,0
DSTM-01565,D,CAT_797F_MANUAL,0,34.8,5.42,9.85,0.298,0.086,7.3,3.29,1,0.8,-0.88,1
DSTM-01566,C,CAT_797F_MANUAL,0,34.44,9.69,77.27,0.849,0.338,8.7,0.67,4,8.19,5.88,0
DSTM-01567,A,CAT_797F_MANUAL,0,41.28,9.0,55.09,0.709,0.104,7.8,5.37,0,5.1,3.46,1
DSTM-01568,A,CAMIONETA_4x4,0,43.58,10.35,7.74,0.605,0.169,7.7,1.28,3,0.87,-1.13,1
DSTM-01569,C,CAT_797F_MANUAL,0,28.4,5.65,138.54,0.782,0.318,10.3,2.15,1,19.42,17.36,0
DSTM-01570,C,CAMIONETA_4x4,0,44.12,9.08,59.64,0.91,0.19,8.2,5.11,2,5.19,3.36,1
DSTM-01571,B,PALA_PH_4100XPC,0,2.34,7.21,9.78,0.73,0.154,2.2,6.97,2,18.84,17.18,0
DSTM-01572,C,CAT_797F_MANUAL,0,23.56,8.24,2.0,0.772,0.142,8.2,5.31,2,1.08,-0.6,1
DSTM-01573,C,CAT_797F_MANUAL,0,26.1,6.65,21.78,0.815,0.207,9.2,3.11,0,2.56,0.7,1
DSTM-01574,D,CAT_797F_MANUAL,0,27.33,10.44,43.8,0.3,0.338,1.1,2.54,3,4.63,2.16,1
DSTM-01575,A,CAT_797F_MANUAL,0,44.86,10.02,66.92,0.627,0.033,11.4,4.28,2,5.38,3.69,1
DSTM-01576,A,KOMATSU_930E_AHS,1,35.69,11.02,52.37,0.725,0.02,6.9,0.15,0,5.66,5.17,0
DSTM-01577,D,CAT_797F_MANUAL,0,33.24,10.96,41.45,0.59,0.337,6.5,9.11,2,4.27,1.87,1
DSTM-01578,D,CAMIONETA_4x4,0,41.82,8.25,84.59,0.543,0.077,7.4,2.59,2,7.74,6.05,0
DSTM-01579,E,KOMATSU_930E_AHS,1,28.55,4.36,38.11,0.934,0.063,3.7,0.15,0,4.51,4.12,0
DSTM-01580,E,KOMATSU_930E_AHS,1,23.42,7.71,148.11,0.949,0.042,18.5,0.15,0,24.72,24.36,0
DSTM-01581,E,CAMIONETA_4x4,0,32.37,8.5,40.81,0.953,0.266,5.3,6.29,1,5.71,3.63,1
DSTM-01582,B,CAT_797F_MANUAL,0,16.9,4.16,35.9,0.766,0.206,7.8,7.1,0,8.84,6.97,0
DSTM-01583,B,CAT_797F_MANUAL,0,15.83,4.44,27.21,0.869,0.231,1.9,0.49,2,6.15,4.32,0
DSTM-01584,B,CAT_797F_MANUAL,0,13.63,4.42,10.5,0.841,0.067,1.1,1.9,0,4.45,2.95,1
DSTM-01585,C,CAT_797F_MANUAL,0,34.79,6.65,28.12,0.824,0.279,11.6,11.27,1,2.95,0.89,1
DSTM-01586,E,CAMIONETA_4x4,0,23.94,4.88,41.85,0.953,0.195,2.6,6.5,1,7.05,5.34,0
DSTM-01587,B,CAMIONETA_4x4,0,27.1,4.42,12.83,0.872,0.12,8.3,4.83,0,1.58,-0.04,1
DSTM-01588,C,KOMATSU_930E_AHS,1,31.74,10.29,95.28,0.995,0.033,17.1,0.15,0,10.57,10.22,0
DSTM-01589,B,PALA_PH_4100XPC,0,0.29,5.75,17.42,0.959,0.11,10.1,2.33,2,17.5,16.04,0
DSTM-01590,A,CAT_797F_MANUAL,0,47.59,13.0,128.36,0.79,0.046,4.7,0.69,1,9.74,7.89,0
DSTM-01591,A,CAT_797F_MANUAL,0,49.06,12.99,158.57,0.683,0.07,9.2,7.67,3,11.55,9.71,0
DSTM-01592,A,CAT_797F_MANUAL,0,43.46,11.22,60.57,0.647,0.151,8.2,7.56,2,4.76,2.7,1
DSTM-01593,E,KOMATSU_930E_AHS,1,23.47,9.7,101.85,1.0,0.057,10.8,0.15,0,13.73,13.37,0
DSTM-01594,B,PALA_PH_4100XPC,0,1.42,5.57,88.13,0.966,0.462,3.2,1.9,2,102.36,99.94,0
DSTM-01595,D,KOMATSU_930E_AHS,1,18.73,11.95,181.56,0.329,0.044,11.3,0.15,0,32.23,31.54,0
DSTM-01596,D,CAMIONETA_4x4,0,31.27,3.98,87.87,0.268,0.144,5.8,3.45,3,9.48,7.49,0
DSTM-01597,A,CAT_797F_MANUAL,0,37.72,14.08,12.99,0.682,0.057,11.2,3.14,0,1.45,-0.45,1
DSTM-01598,A,KOMATSU_930E_AHS,1,28.9,4.66,50.99,0.78,0.02,20.8,0.15,0,7.45,6.98,0
DSTM-01599,D,KOMATSU_930E_AHS,1,24.56,9.35,29.69,0.363,0.048,13.2,0.15,0,4.46,3.79,1
DSTM-01600,B,CAT_797F_MANUAL,0,24.13,4.32,5.13,0.825,0.094,5.0,5.54,4,0.92,-0.68,1
DSTM-01601,E,CAMIONETA_4x4,0,26.34,5.69,70.4,0.871,0.131,6.3,3.99,0,8.48,6.85,0
DSTM-01602,A,CAT_797F_MANUAL,0,50.85,11.87,31.38,0.659,0.035,11.1,12.74,0,2.16,0.4,1
DSTM-01603,D,CAT_797F_MANUAL,0,28.18,10.82,29.04,0.337,0.128,3.9,5.07,0,3.07,1.05,1
DSTM-01604,D,CAT_797F_MANUAL,0,29.76,8.6,90.92,0.476,0.207,8.7,4.72,0,12.36,10.2,0
DSTM-01605,A,CAT_797F_MANUAL,0,38.03,11.67,10.93,0.793,0.11,10.9,2.72,0,1.18,-0.79,1
DSTM-01606,B,CAT_797F_MANUAL,0,11.5,4.42,10.88,0.72,0.145,1.2,1.63,3,1.56,-0.04,1
DSTM-01607,E,KOMATSU_930E_AHS,1,30.0,8.96,187.61,0.913,0.041,19.3,0.15,0,22.99,22.59,0
DSTM-01608,B,CAMIONETA_4x4,0,43.64,3.11,26.41,0.881,0.244,5.2,14.79,2,2.24,0.25,1
DSTM-01609,B,CAT_797F_MANUAL,0,17.18,4.65,15.61,0.768,0.283,1.5,1.62,1,3.1,1.06,1
DSTM-01610,B,CAT_797F_MANUAL,0,8.7,1.31,8.42,0.932,0.122,6.0,0.41,1,3.44,1.87,1
DSTM-01611,B,CAT_797F_MANUAL,0,8.23,2.73,14.17,0.93,0.117,7.4,1.13,3,4.38,2.82,1
DSTM-01612,D,CAT_797F_MANUAL,0,32.37,4.29,42.57,0.318,0.142,3.8,6.98,0,5.02,3.15,1
DSTM-01613,D,CAT_797F_MANUAL,0,37.24,8.13,42.64,0.477,0.064,2.7,9.59,2,4.04,2.21,1
DSTM-01614,B,PALA_PH_4100XPC,0,1.38,2.23,39.08,0.88,0.052,7.9,3.2,2,61.62,60.24,0
DSTM-01615,D,KOMATSU_930E_AHS,1,28.12,4.07,9.43,0.467,0.038,23.7,0.15,0,1.61,1.0,1
DSTM-01616,A,CAMIONETA_4x4,0,35.84,10.75,34.17,0.818,0.053,11.3,1.64,0,3.79,2.15,1
DSTM-01617,A,KOMATSU_930E_AHS,1,30.63,8.13,41.56,0.604,0.072,10.3,0.15,0,4.87,4.29,0
DSTM-01618,C,KOMATSU_930E_AHS,1,28.66,6.53,9.97,0.98,0.075,9.7,0.15,0,1.56,1.19,1
DSTM-01619,E,CAMIONETA_4x4,0,42.34,8.25,71.24,0.866,0.223,2.4,4.09,2,5.95,4.14,0
DSTM-01620,A,CAT_797F_MANUAL,0,44.2,9.89,68.6,0.675,0.065,5.5,2.73,0,5.48,3.67,1
DSTM-01621,A,KOMATSU_930E_AHS,1,33.49,11.56,182.76,0.727,0.058,16.9,0.15,0,19.84,19.33,0
DSTM-01622,C,KOMATSU_930E_AHS,1,21.67,9.09,23.65,1.0,0.069,1.8,0.15,0,3.84,3.48,1
DSTM-01623,D,CAMIONETA_4x4,0,40.63,2.68,65.86,0.469,0.201,7.2,2.09,3,5.68,3.67,1
DSTM-01624,A,CAMIONETA_4x4,0,39.17,13.35,24.35,0.825,0.228,9.0,15.0,0,1.49,-0.74,1
DSTM-01625,B,PALA_PH_4100XPC,0,0.53,3.52,15.88,0.778,0.081,5.2,0.95,0,30.87,29.43,0
DSTM-01626,D,CAT_797F_MANUAL,0,36.97,7.91,78.38,0.34,0.233,1.8,3.2,3,7.41,5.2,0
DSTM-01627,B,CAT_797F_MANUAL,0,18.68,5.54,149.96,0.866,0.072,2.0,2.22,2,26.98,25.62,0
DSTM-01628,A,CAT_797F_MANUAL,0,37.41,15.3,62.26,0.673,0.247,1.4,4.84,0,5.87,3.37,1
DSTM-01629,A,CAT_797F_MANUAL,0,40.89,11.92,51.92,0.825,0.226,9.4,11.15,3,4.13,2.01,1
DSTM-01630,B,PALA_PH_4100XPC,0,4.33,2.85,3.46,0.775,0.191,9.0,1.93,2,5.12,3.38,1
DSTM-01631,C,CAMIONETA_4x4,0,31.85,10.67,142.23,0.831,0.315,8.7,2.69,2,14.13,11.71,0
DSTM-01632,E,KOMATSU_930E_AHS,1,40.1,9.34,45.16,0.824,0.06,10.1,0.15,0,4.29,3.83,1
DSTM-01633,C,KOMATSU_930E_AHS,1,19.24,7.13,28.82,0.826,0.037,14.6,0.15,0,5.85,5.43,0
DSTM-01634,D,CAMIONETA_4x4,0,47.28,8.77,25.6,0.504,0.118,4.0,3.21,2,1.64,-0.15,1
DSTM-01635,E,KOMATSU_930E_AHS,1,17.69,8.76,16.19,0.926,0.042,7.7,0.15,0,2.62,2.25,1
DSTM-01636,B,PALA_PH_4100XPC,0,2.93,1.63,73.3,0.981,0.188,9.5,3.37,1,146.95,145.25,0
DSTM-01637,B,CAT_797F_MANUAL,0,17.91,3.14,26.5,0.858,0.079,10.3,1.74,1,4.43,2.93,1
DSTM-01638,E,KOMATSU_930E_AHS,1,27.1,10.4,98.02,0.985,0.048,2.9,0.15,0,14.04,13.69,0
DSTM-01639,A,CAT_797F_MANUAL,0,39.64,10.03,67.28,0.58,0.614,6.4,1.47,6,5.96,2.85,1
DSTM-01640,D,CAMIONETA_4x4,0,28.48,9.37,18.81,0.253,0.432,2.4,10.09,5,2.86,0.03,1
DSTM-01641,D,CAT_797F_MANUAL,0,35.69,6.62,7.81,0.411,0.146,1.5,4.2,0,1.01,-0.74,1
DSTM-01642,A,KOMATSU_930E_AHS,1,42.33,9.34,27.82,0.699,0.039,22.0,0.15,0,2.51,2.0,1
DSTM-01643,C,CAT_797F_MANUAL,0,31.22,5.89,53.88,0.851,0.216,10.6,3.74,1,6.07,4.2,0
DSTM-01644,A,CAT_797F_MANUAL,0,46.87,9.06,95.48,0.613,0.175,1.6,4.54,2,7.51,5.52,0
DSTM-01645,A,KOMATSU_930E_AHS,1,31.93,9.5,106.07,0.661,0.059,23.0,0.15,0,12.65,12.12,0
DSTM-01646,C,CAT_797F_MANUAL,0,34.51,5.57,28.54,0.794,0.094,11.6,4.22,2,2.94,1.32,1
DSTM-01647,B,CAMIONETA_4x4,0,37.54,2.08,27.34,0.791,0.163,6.4,2.57,0,2.62,1.01,1
DSTM-01648,D,CAT_797F_MANUAL,0,33.64,7.93,81.1,0.292,0.095,3.1,4.05,1,7.78,5.93,0
DSTM-01649,E,CAMIONETA_4x4,0,30.9,11.18,32.5,0.833,0.091,2.7,3.22,0,3.53,1.84,1
DSTM-01650,D,CAT_797F_MANUAL,0,32.15,9.21,32.04,0.177,0.239,4.9,4.09,1,4.06,1.83,1
DSTM-01651,B,CAMIONETA_4x4,0,38.1,4.16,83.58,0.943,0.057,7.2,9.64,1,8.4,7.1,0
DSTM-01652,B,CAT_797F_MANUAL,0,16.8,3.25,104.91,0.756,0.125,6.4,5.95,0,25.61,23.99,0
DSTM-01653,B,CAT_797F_MANUAL,0,14.79,7.87,37.25,0.951,0.196,4.8,5.2,1,9.18,7.36,0
DSTM-01654,A,CAT_797F_MANUAL,0,45.8,13.07,39.76,0.807,0.104,6.5,9.31,3,3.08,1.17,1
DSTM-01655,E,CAMIONETA_4x4,0,41.49,11.98,15.27,0.718,0.449,5.0,5.31,1,1.31,-1.5,1
DSTM-01656,B,PALA_PH_4100XPC,0,4.35,3.38,26.06,0.818,0.202,10.3,1.18,2,19.2,17.34,0
DSTM-01657,A,CAT_797F_MANUAL,0,47.58,10.63,75.83,0.648,0.256,3.7,6.48,2,5.84,3.63,1
DSTM-01658,D,CAT_797F_MANUAL,0,32.89,11.19,9.15,0.332,0.426,4.1,2.92,3,0.81,-2.01,1
DSTM-01659,B,CAT_797F_MANUAL,0,16.84,0.7,54.6,0.973,0.021,4.8,4.24,2,11.73,10.37,0
DSTM-01660,A,KOMATSU_930E_AHS,1,35.45,14.33,200.0,0.722,0.038,4.4,0.15,0,19.71,19.21,0
DSTM-01661,A,KOMATSU_930E_AHS,1,43.28,10.65,12.99,0.79,0.03,3.3,0.15,0,1.09,0.6,1
DSTM-01662,C,CAT_797F_MANUAL,0,30.25,11.06,90.04,0.879,0.374,8.7,7.55,2,10.44,8.09,0
DSTM-01663,D,CAT_797F_MANUAL,0,37.28,2.9,34.71,0.463,0.16,9.1,4.17,0,4.2,2.19,1
DSTM-01664,A,CAT_797F_MANUAL,0,47.94,11.2,46.13,0.785,0.141,2.7,7.0,0,3.9,2.1,1
DSTM-01665,E,CAMIONETA_4x4,0,41.31,9.1,44.46,1.0,0.1,4.4,1.08,3,3.82,2.3,1
DSTM-01666,E,KOMATSU_930E_AHS,1,21.56,8.0,9.68,0.733,0.02,9.3,0.15,0,1.64,1.18,1
DSTM-01667,D,CAT_797F_MANUAL,0,37.65,6.21,38.83,0.262,0.08,6.0,3.64,1,3.67,1.86,1
DSTM-01668,A,CAMIONETA_4x4,0,57.18,9.83,126.91,0.616,0.097,9.7,1.99,1,7.49,5.7,0
DSTM-01669,A,CAT_797F_MANUAL,0,33.25,9.94,197.53,0.745,0.045,10.1,0.57,0,20.62,19.0,0
DSTM-01670,E,KOMATSU_930E_AHS,1,29.22,11.2,113.47,0.94,0.043,10.0,0.15,0,15.08,14.71,0
DSTM-01671,B,CAT_797F_MANUAL,0,10.87,0.5,2.26,0.743,0.286,8.6,3.53,1,1.7,-0.2,1
DSTM-01672,C,CAT_797F_MANUAL,0,33.55,15.43,131.89,0.963,0.117,8.9,4.46,2,15.51,13.46,0
DSTM-01673,D,CAT_797F_MANUAL,0,30.38,5.69,162.15,0.572,0.028,6.7,3.87,1,23.1,21.54,0
DSTM-01674,A,CAT_797F_MANUAL,0,40.83,10.05,74.2,0.608,0.063,2.1,0.75,2,6.39,4.7,0
DSTM-01675,D,KOMATSU_930E_AHS,1,35.63,11.18,57.36,0.267,0.02,10.4,0.15,0,5.64,4.95,0
DSTM-01676,E,KOMATSU_930E_AHS,1,20.85,11.43,29.99,0.762,0.068,4.3,0.15,0,4.32,3.85,1
DSTM-01677,D,CAT_797F_MANUAL,0,32.91,6.53,25.82,0.448,0.224,11.3,9.84,2,2.64,0.66,1
